gene,model,random,strict,moran_i,inflation,dataset,platform,strict_type,strict_split
IGHM,spatial_knn,0.0168232711023389,0.0008903607551491752,0.2672035886614903,0.015932910347189723,anderson,ST_v1,patient,patient_
IGKC,mean,0.0,0.0,0.4158786931838041,0.0,anderson,ST_v1,patient,patient_
IGKC,pca_ridge,0.8936638693793075,0.41983975964162185,0.4158786931838041,0.4738241097376857,anderson,ST_v1,patient,patient_
IGKC,spatial_knn,-0.03393621429602281,-0.061152806363022276,0.4158786931838041,0.027216592066999466,anderson,ST_v1,patient,patient_
IGLC2,mean,0.0,0.0,0.3626695860502455,0.0,anderson,ST_v1,patient,patient_
IGLC2,pca_ridge,0.8574897281444154,0.3548738439892598,0.3626695860502455,0.5026158841551556,anderson,ST_v1,patient,patient_
IGLC2,spatial_knn,-0.028383131948818967,0.0057031102685807245,0.3626695860502455,-0.03408624221739969,anderson,ST_v1,patient,patient_
IGLC7,mean,0.0,0.0,0.1717310534306244,0.0,anderson,ST_v1,patient,patient_
IGLC7,pca_ridge,0.517879636710239,0.15914789804980878,0.1717310534306244,0.3587317386604302,anderson,ST_v1,patient,patient_
IGLC7,spatial_knn,0.024153507510055718,-0.004219017766799751,0.1717310534306244,0.028372525276855468,anderson,ST_v1,patient,patient_
ISG15,mean,0.0,0.0,0.1271166346287661,0.0,anderson,ST_v1,patient,patient_
ISG15,pca_ridge,0.6440802029562549,0.20366620681421926,0.1271166346287661,0.44041399614203564,anderson,ST_v1,patient,patient_
ISG15,spatial_knn,-0.00043835220674821944,-0.02683565606171949,0.1271166346287661,0.02639730385497127,anderson,ST_v1,patient,patient_
ITGAV,mean,0.0,0.0,0.0819596278529162,0.0,anderson,ST_v1,patient,patient_
ITGAV,pca_ridge,0.44021769196107285,0.2844923906339082,0.0819596278529162,0.15572530132716467,anderson,ST_v1,patient,patient_
ITGAV,spatial_knn,-0.0029531207989564406,-0.0018855773421863878,0.0819596278529162,-0.0010675434567700528,anderson,ST_v1,patient,patient_
JCHAIN,mean,0.0,0.0,0.1553856752080432,0.0,anderson,ST_v1,patient,patient_
JCHAIN,pca_ridge,0.46098693247874456,0.2545232784990703,0.1553856752080432,0.20646365397967426,anderson,ST_v1,patient,patient_
JCHAIN,spatial_knn,0.04314258485160083,-0.014435847432396988,0.1553856752080432,0.05757843228399782,anderson,ST_v1,patient,patient_
KRT15,mean,0.0,0.0,0.1219924971933015,0.0,anderson,ST_v1,patient,patient_
KRT15,pca_ridge,0.4385112260892221,0.10960029235573944,0.1219924971933015,0.3289109337334827,anderson,ST_v1,patient,patient_
KRT15,spatial_knn,0.05632960099935869,-0.009500473129857837,0.1219924971933015,0.06583007412921653,anderson,ST_v1,patient,patient_
KRT17,mean,0.0,0.0,0.0937079908018226,0.0,anderson,ST_v1,patient,patient_
KRT17,pca_ridge,0.4396437469881196,0.11351061937918261,0.0937079908018226,0.326133127608937,anderson,ST_v1,patient,patient_
