gene,model,rand,pat,inflation,moran_i,dataset
PLA1A,pca_ridge,0.00057049943454709,-0.0026051092958130667,0.003175608730360157,-0.000303410438206,dlpfc
PLA1A,spatial_knn,-0.0048512590572145995,-0.004666303527068967,-0.0001849555301456328,-0.000303410438206,dlpfc
PLP1,pca_ridge,0.5181658707037793,0.43861597020896587,0.07954990049481342,0.418948084852661,dlpfc
PLP1,spatial_knn,0.4500406927787009,0.44288165802375007,0.007159034754950833,0.418948084852661,dlpfc
PNMA3,pca_ridge,0.15918911817042108,0.14495749399518817,0.01423162417523291,0.0170170242047661,dlpfc
PNMA3,spatial_knn,0.016427670194172163,0.0063855084846068,0.010042161709565362,0.0170170242047661,dlpfc
PPP1R14A,pca_ridge,0.41668585556795684,0.3287000295442617,0.08798582602369515,0.2156929779592869,dlpfc
PPP1R14A,spatial_knn,0.27726322719026675,0.22707636063646386,0.05018686655380289,0.2156929779592869,dlpfc
PSME2,pca_ridge,0.04878864290388944,0.04888453960773833,-9.589670384888699e-05,0.0078503871037793,dlpfc
PSME2,spatial_knn,0.0198671379816725,0.019979831814617103,-0.0001126938329446027,0.0078503871037793,dlpfc
PTGDS,pca_ridge,0.3204508494827493,0.27313112181928617,0.04731972766346315,0.1777215540482319,dlpfc
PTGDS,spatial_knn,0.10909209258586443,0.040163736697209636,0.06892835588865479,0.1777215540482319,dlpfc
RARRES3,pca_ridge,0.11460412012419971,0.10745751798773706,0.007146602136462649,0.0358253788581433,dlpfc
RARRES3,spatial_knn,0.06487907465629784,0.06590953100709623,-0.0010304563507983894,0.0358253788581433,dlpfc
RBM15B,pca_ridge,0.0749959351097085,0.06871520847138346,0.006280726638325046,0.0053309103355928,dlpfc
RBM15B,spatial_knn,0.00521406116093376,0.0021893809821342666,0.0030246801787994935,0.0053309103355928,dlpfc
RCC1,pca_ridge,0.0038404839211150623,0.005450862311244034,-0.0016103783901289716,0.0026219740391659,dlpfc
RCC1,spatial_knn,-0.01471358859195252,-0.012703614327332633,-0.002009974264619886,0.0026219740391659,dlpfc
RIF1,pca_ridge,0.07755929658804203,0.04974717822991764,0.027812118358124395,0.0012561681271016,dlpfc
RIF1,spatial_knn,0.00634142670958755,-0.0010710338829324,0.00741246059251995,0.0012561681271016,dlpfc
RNASE1,pca_ridge,0.37040349242335713,0.29323497357898504,0.07716851884437209,0.1665005564998363,dlpfc
RNASE1,spatial_knn,0.21281121506494158,0.17313634955840715,0.03967486550653443,0.1665005564998363,dlpfc
S100A11,pca_ridge,0.2553932567193397,0.2532262429569074,0.002167013762432335,0.1697706261926276,dlpfc
S100A11,spatial_knn,0.2545070374080871,0.25498863053733284,-0.0004815931292457276,0.1697706261926276,dlpfc
S100B,pca_ridge,0.34061587185147696,0.2920279987972727,0.048587873054204256,0.2048527570168208,dlpfc
S100B,spatial_knn,0.1506780333164137,0.0731515395880759,0.0775264937283378,0.2048527570168208,dlpfc
SAA1,pca_ridge,0.1351827113320217,0.0480350770943474,0.0871476342376743,0.4136080591854777,dlpfc
SAA1,spatial_knn,0.5090474770866843,0.49217837988142915,0.016869097205255146,0.4136080591854777,dlpfc
SAA2,pca_ridge,0.07696901547252485,0.0377085877315736,0.03926042774095125,0.1772707756291735,dlpfc
SAA2,spatial_knn,0.27184718093964994,0.2579187083627661,0.013928472576883844,0.1772707756291735,dlpfc
SCGB1D2,pca_ridge,0.2457947851469391,0.20870141254912988,0.037093372597809204,0.5286076681339221,dlpfc
SCGB1D2,spatial_knn,0.5909445757176124,0.5663008921318551,0.024643683585757303,0.5286076681339221,dlpfc
SCGB2A1,pca_ridge,0.09310649568908216,0.06993864341721233,0.023167852271869835,0.0849589855060622,dlpfc
SCGB2A1,spatial_knn,0.12950810636831384,0.12465387498155156,0.0048542313867622755,0.0849589855060622,dlpfc
SCGB2A2,pca_ridge,0.2974896210281483,0.25739732539399207,0.04009229563415623,0.7143328555346343,dlpfc
SCGB2A2,spatial_knn,0.712950083526268,0.6888551748873043,0.024094908638963686,0.7143328555346343,dlpfc
SEPT4,pca_ridge,0.3549728326481304,0.25846355228773027,0.09650928036040013,0.1760454776288026,dlpfc
SEPT4,spatial_knn,0.22851690882009668,0.2012670469341067,0.027249861885989962,0.1760454776288026,dlpfc
SPP1,pca_ridge,0.4438065545198828,0.3394299223873604,0.1043766321325224,0.2172672707758185,dlpfc
SPP1,spatial_knn,0.2845181836126499,0.24839542113366556,0.036122762478984355,0.2172672707758185,dlpfc
TF,pca_ridge,0.4797025052672435,0.37719216010821643,0.10251034515902707,0.2769873246015387,dlpfc
TF,spatial_knn,0.3375142809596186,0.29015378152166565,0.04736049943795295,0.2769873246015387,dlpfc
TFF1,pca_ridge,0.14482900072053756,0.11281767196190846,0.032011328758629096,0.2356339408791286,dlpfc
TFF1,spatial_knn,0.3303872136651679,0.30755894117147076,0.02282827249369712,0.2356339408791286,dlpfc
TFF3,pca_ridge,0.16032700633365787,0.13999982024316976,0.020327186090488114,0.1745244424053923,dlpfc
TFF3,spatial_knn,0.22744451446056227,0.21251242694807218,0.014932087512490089,0.1745244424053923,dlpfc
TJP1,pca_ridge,0.1486571306018009,0.10951705813523789,0.03914007246656302,0.0261131208892276,dlpfc
TJP1,spatial_knn,0.03237697398489272,0.008745390233507599,0.02363158375138512,0.0261131208892276,dlpfc
TMEM144,pca_ridge,0.3946171899673969,0.2957036316615393,0.09891355830585763,0.1660435568944688,dlpfc
TMEM144,spatial_knn,0.22129580905382187,0.17160157185777183,0.04969423719605004,0.1660435568944688,dlpfc
